Date,Ticker,Close,Shares,MarketCap
2015-10-29 00:00:00-04:00,GOOGL,37.24250030517578,687725000.0,25612598522.377014
2015-10-29 00:00:00-04:00,TCEHY,,,
2015-10-29 00:00:00-04:00,TSLA,,,
2015-10-29 00:00:00-04:00,MSFT,,,
2015-10-29 00:00:00-04:00,META,,,
2015-10-29 00:00:00-04:00,AMD,,,
2015-10-29 00:00:00-04:00,BABA,,,
2015-10-29 00:00:00-04:00,AMZN,,,
2015-10-29 00:00:00-04:00,AAPL,,,
2015-10-29 00:00:00-04:00,BIDU,,,
2016-02-01 00:00:00-05:00,GOOGL,38.53850173950195,687348000.0,26489362093.64319
2016-02-01 00:00:00-05:00,TCEHY,,,
2016-02-01 00:00:00-05:00,TSLA,,,
2016-02-01 00:00:00-05:00,MSFT,,,
2016-02-01 00:00:00-05:00,META,,,
2016-02-01 00:00:00-05:00,AMD,,,
2016-02-01 00:00:00-05:00,BABA,,,
2016-02-01 00:00:00-05:00,AMZN,,,
2016-02-01 00:00:00-05:00,AAPL,,,
2016-02-01 00:00:00-05:00,BIDU,,,
2016-02-11 00:00:00-05:00,GOOGL,35.31800079345703,688320000.0,24310086306.152344
2016-02-11 00:00:00-05:00,TCEHY,,,
2016-02-11 00:00:00-05:00,TSLA,,,
2016-02-11 00:00:00-05:00,MSFT,,,
2016-02-11 00:00:00-05:00,META,,,
2016-02-11 00:00:00-05:00,AMD,,,
2016-02-11 00:00:00-05:00,BABA,,,
2016-02-11 00:00:00-05:00,AMZN,,,
2016-02-11 00:00:00-05:00,AAPL,,,
2016-02-11 00:00:00-05:00,BIDU,,,
2016-02-12 00:00:00-05:00,GOOGL,35.34450149536133,688330000.0,24328680714.302063
2016-02-12 00:00:00-05:00,TCEHY,,,
2016-02-12 00:00:00-05:00,TSLA,,,
2016-02-12 00:00:00-05:00,MSFT,,,
2016-02-12 00:00:00-05:00,META,,,
2016-02-12 00:00:00-05:00,AMD,,,
2016-02-12 00:00:00-05:00,BABA,,,
2016-02-12 00:00:00-05:00,AMZN,,,
2016-02-12 00:00:00-05:00,AAPL,,,
2016-02-12 00:00:00-05:00,BIDU,,,
2016-02-26 00:00:00-05:00,GOOGL,36.24300003051758,688320000.0,24946781781.00586
2016-02-26 00:00:00-05:00,TCEHY,,,
2016-02-26 00:00:00-05:00,TSLA,,,
2016-02-26 00:00:00-05:00,MSFT,,,
2016-02-26 00:00:00-05:00,META,,,
2016-02-26 00:00:00-05:00,AMD,,,
2016-02-26 00:00:00-05:00,BABA,,,
2016-02-26 00:00:00-05:00,AMZN,,,
2016-02-26 00:00:00-05:00,AAPL,,,
2016-02-26 00:00:00-05:00,BIDU,,,
2016-04-21 00:00:00-04:00,GOOGL,39.0,686792000.0,26784888000.0
2016-04-21 00:00:00-04:00,TCEHY,,,
2016-04-21 00:00:00-04:00,TSLA,,,
2016-04-21 00:00:00-04:00,MSFT,49.92567825317383,7860470000.0,392439296138.7253
2016-04-21 00:00:00-04:00,META,,,
2016-04-21 00:00:00-04:00,AMD,,,
2016-04-21 00:00:00-04:00,BABA,,,
2016-04-21 00:00:00-04:00,AMZN,,,
